Artist Name         Counts
Cardi B             1
Maluma              1
24kGoldn            1
BTS                 1
The Weeknd          1
Harry Styles        2
Jawsh 685           1
Drake               2
DaBaby              1
BLACKPINK           2
Pop Smoke           3
SAINt JHN           1
Conan Gray          1
KAROL G             2
Topic               1
Joel Corry          1
J Balvin            1
Juice WRLD          5
Jay Wheeler         1
Internet Money      1
Lady Gaga           1
Miley Cyrus         1
Rauw Alejandro      1
Nio Garcia          1
Ozuna               1
Tones And I         1
Lewis Capaldi       2
Tate McRae          1
Sech                1
Powfu               1
Jack Harlow         1
Tainy               1
Calvin Harris       1
Chris Brown         1
Dua Lipa            2
Lil Mosey           1
DJ Khaled           1
Aya Nakamura        1
Black Eyed Peas     1
Ariana Grande       1
Surf Mesa           1
Ava Max             1
Trueno              1
Labrinth            1
KHEA                1
StaySolidRocky      1
Jason Derulo        1
Post Malone         2
Roddy Ricch         1
Jerry Di            1
Travis Scott        1
Machine Gun Kelly   1
BØRNS              1
Maroon 5            1
Trevor Daniel       1
Shawn Mendes        1
Justin Bieber       1
Taylor Swift        1
--------------------------------------------
Total song readed : 71
Total of artist that appear in the list : 58
